Point,X,Y,Na/Si,Na/Si_uncer,Al/Si,Al/Si_uncer,Mg/Si,Mg/Si_uncer,Ca/Si,Ca/Si_uncer,Polygon ID
V1,-1629085.6137,2397154.8537,,,1.0,0.0105115552847101,,,,,61
V2,-1506418.5642,2395641.7185,,,1.0,0.0105115552847101,,,,,61
V3,-1323089.6522,2566580.5095,,,1.0,0.0105115552847101,,,,,61
V0,4544651.4986,-2389652.8568,,,1.1925435491485448,0.0103191778444031,,,,,62
V1,4452741.4234,-2562022.9099,,,1.1925435491485448,0.0103191778444031,,,,,62
V2,4671008.8998,-2562811.317,,,1.1925435491485448,0.0103191778444031,,,,,62
V3,4689445.4969,-2390040.9956,,,1.1925435491485448,0.0103191778444031,,,,,62
V0,-4597201.8649,-2393664.636,,,0.0,-1.0,,,,,63
V1,-4618124.9767,-2566753.3526,,,0.0,-1.0,,,,,63
V2,-4455470.525,-2565479.7719,,,0.0,-1.0,,,,,63
V3,-4396552.2551,-2393039.975,,,0.0,-1.0,,,,,63
V0,-3425052.7541,2567265.8172,,,0.0,-1.0,,,,,64
V1,-3568906.7285,2397903.8404,,,0.0,-1.0,,,,,64
V2,-3349032.1146,2400687.524,,,0.0,-1.0,,,,,64
V3,-3276286.3969,2573015.1245,,,0.0,-1.0,,,,,64
V0,-2595997.1917,-2342227.1367,,,0.0,-1.0,,,,,65
V1,-2766250.6751,-2513987.6905,,,0.0,-1.0,,,,,65
V2,-2545448.1666,-2518220.8302,,,0.0,-1.0,,,,,65
V3,-2472884.389,-2344568.0993,,,0.0,-1.0,,,,,65
V0,3555018.634,-2368341.6061,,,0.0,-1.0,,,,,66
V1,3518297.0567,-2541939.7549,,,0.0,-1.0,,,,,66
V2,3663182.025,-2537749.0679,,,0.0,-1.0,,,,,66
V3,3759246.3992,-2366134.0662,,,0.0,-1.0,,,,,66
V0,-772223.539,2528266.9562,,,0.0,-1.0,,,,,67
V1,-809591.0037,2354868.9415,,,0.0,-1.0,,,,,67
V2,-638549.1133,2355223.7247,,,0.0,-1.0,,,,,67
V3,-605499.6937,2528924.9729,,,0.0,-1.0,,,,,67
V0,-4365137.264,-2381459.4875,,,0.0,-1.0,,,,,68
V1,-4370140.6169,-2554551.2364,,,0.0,-1.0,,,,,68
V2,-4231957.109,-2552589.3156,,,0.0,-1.0,,,,,68
V3,-4164245.0675,-2380458.8169,,,0.0,-1.0,,,,,68
V0,-2161979.0771,2552492.2809,,,0.0,-1.0,,,,,69
V1,-2266406.6313,2380561.9163,,,0.0,-1.0,,,,,69
V2,-2151732.817,2378390.7644,,,0.0,-1.0,,,,,69
V3,-1941276.6357,2548259.1412,,,0.0,-1.0,,,,,69
V0,3175855.4603,-2350538.767,,,0.0,-1.0,,,,,70
V1,3136708.0149,-2524285.5003,,,0.0,-1.0,,,,,70
V2,3277984.5045,-2519834.0325,,,0.0,-1.0,,,,,70
V3,3369470.0528,-2348094.705,,,0.0,-1.0,,,,,70
V0,-2385495.5254,-2329530.7499,,,0.0,-1.0,,,,,71
V1,-2535911.4729,-2501491.4378,,,0.0,-1.0,,,,,71
V2,-2330331.2863,-2505263.6626,,,0.0,-1.0,,,,,71
V3,-2267931.8958,-2331677.6431,,,0.0,-1.0,,,,,71
V0,4025030.5657,-2339528.3585,,,0.0,-1.0,,,,,72
V1,4024757.6555,-2513678.3923,,,0.0,-1.0,,,,,72
V2,4162304.373,-2511940.8644,,,0.0,-1.0,,,,,72
V3,4212246.9312,-2338561.0436,,,0.0,-1.0,,,,,72
V0,5118733.1689,2546539.8072,,,0.0,-1.0,,,,,73
V1,5073521.0534,2374169.754,,,0.0,-1.0,,,,,73
V2,5246424.7975,2374603.3779,,,0.0,-1.0,,,,,73
V3,5271653.8251,2547382.7963,,,0.0,-1.0,,,,,73
V0,4742026.1865,2512941.5349,,,0.0,-1.0,,,,,74
V1,4726439.9844,2339364.6124,,,0.0,-1.0,,,,,74
V2,4862955.708,2339028.0232,,,0.0,-1.0,,,,,74
V3,4927119.9175,2512338.1003,,,0.0,-1.0,,,,,74
V0,2954012.8609,-2338087.9994,,,0.0,-1.0,,,,,75
V1,2914261.9808,-2511898.4117,,,0.0,-1.0,,,,,75
V2,3052318.1306,-2507359.0061,,,0.0,-1.0,,,,,75
