start_time,V0_LAT,V1_LAT,V2_LAT,V3_LAT,V0_LON,V1_LON,V2_LON,V3_LON,Al/Si,Mg/Si,Ca/Si,Al/Si_uncer,Mg/Si_uncer,Ca/Si_uncer
20200112T193845,-81.7641,-87.5095,-87.3724,-81.7214,134.412,133.203,141.887,147.403,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T194021,-86.593,-89.6633,-89.8938,-86.4914,175.26,-147.558,-113.743,160.037,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T194157,-82.7805,-88.3465,-88.5745,-82.8293,-51.756,-75.6418,-44.3123,-43.474,0.0,2.233980190207475,0.0,-1.0,0.004175386095743118,-1.0
20200112T194333,-77.9702,-83.6897,-83.7456,-77.9996,-49.0842,-52.7296,-44.6478,-44.4809,0.6948674487140757,0.0,0.0,0.007169079099237838,-1.0,-1.0
20200112T194509,-73.1479,-78.883,-78.9148,-73.169,-47.9442,-49.4167,-44.7734,-44.7026,0.0,1.2420618215421992,0.0,-1.0,0.0015958381099905295,-1.0
20200112T194645,-68.3206,-74.0602,-74.0825,-68.3371,-47.3152,-48.1102,-44.8389,-44.799,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T194821,-63.4903,-69.231,-69.2482,-63.5039,-46.9183,-47.4145,-44.8786,-44.853,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T194957,-58.6573,-64.3981,-64.4121,-58.6689,-46.6465,-46.9844,-44.9048,-44.8866,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T195133,-53.8216,-59.5617,-59.5737,-53.8317,-46.4494,-46.6935,-44.9228,-44.9093,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T195309,-48.9829,-54.7221,-54.7325,-48.992,-46.3005,-46.4847,-44.9355,-44.9249,1.4812061089158277,0.0,0.0,0.0016003231214204933,-1.0,-1.0
20200112T195445,-44.1411,-49.879,-49.8882,-44.1494,-46.1847,-46.3279,-44.9443,-44.9362,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T195621,-39.2959,-45.0322,-45.0407,-39.3036,-46.0926,-46.2067,-44.95,-44.9438,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T195757,-34.4474,-40.1817,-40.1895,-34.4545,-46.0177,-46.1106,-44.9532,-44.9486,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T195933,-29.5947,-35.3274,-35.3346,-29.6015,-45.9562,-46.0328,-44.9544,-44.9511,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T200109,-24.7382,-30.4686,-30.4755,-24.7446,-45.9048,-45.969,-44.9544,-44.9501,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T200245,-19.8771,-25.6057,-25.6122,-19.8833,-45.8613,-45.9159,-44.9533,-44.9464,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T200421,-15.0121,-20.7379,-20.7442,-15.018,-45.8244,-45.871,-44.95,-44.9407,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T200557,-10.1424,-15.866,-15.872,-10.1482,-45.7926,-45.8328,-44.9446,-44.9327,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T200733,-5.2681,-10.9892,-10.995,-5.2738,-45.7652,-45.8001,-44.937,-44.9224,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T200909,-0.389,-6.1077,-6.1135,-0.3947,-45.7411,-45.7719,-44.9271,-44.9092,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T201045,4.4947,-1.2214,-1.2271,4.4891,-45.7201,-45.7473,-44.9143,-44.8929,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T201221,9.3831,3.6696,3.664,9.3774,-45.7015,-45.7257,-44.8986,-44.873,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T201357,14.2764,8.5653,8.5596,14.2706,-45.6848,-45.7067,-44.8792,-44.8488,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T201533,19.1741,13.4658,13.4599,19.1683,-45.6701,-45.6898,-44.8558,-44.8197,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T201709,24.0763,18.3705,18.3646,24.0703,-45.6568,-45.6747,-44.8275,-44.7845,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T201845,28.9832,23.2795,23.2735,28.977,-45.6444,-45.6611,-44.7933,-44.7415,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T202021,33.8944,28.193,28.1868,33.8878,-45.6328,-45.6486,-44.7515,-44.6889,1.0,0.0,0.0,0.015587747376109845,-1.0,-1.0
20200112T202157,38.8093,33.1104,33.1039,38.8023,-45.6217,-45.6369,-44.7005,-44.6238,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T202333,43.7284,38.0313,38.0244,43.7209,-45.6109,-45.6257,-44.6375,-44.5425,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T202509,48.6507,42.9559,42.9485,48.6426,-45.6001,-45.6149,-44.5589,-44.4392,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T202645,53.5767,47.8833,47.8753,53.5677,-45.5885,-45.6041,-44.4593,-44.3046,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T202821,58.5055,52.8139,52.805,58.4953,-45.5761,-45.5928,-44.3302,-44.1248,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T202957,63.4371,57.7467,57.7368,63.4252,-45.5615,-45.5807,-44.1584,-43.874,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T203133,68.371,62.6818,62.6703,68.3567,-45.543,-45.5666,-43.9206,-43.5041,1.0,0.0,0.0,0.015905510229546928,-1.0,-1.0
20200112T203309,73.3067,67.6187,67.6048,73.2885,-45.5164,-45.549,-43.5731,-42.9092,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T203445,78.244,72.5568,72.5393,78.2183,-45.4698,-45.5242,-43.023,-41.8059,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T203621,83.1833,77.4959,77.4717,83.1393,-45.3649,-45.4825,-42.0302,-39.1042,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T203757,88.1229,82.4364,82.3967,87.9694,-44.7153,-45.3942,-39.7379,-23.1657,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T203933,89.8441,86.8405,86.9369,89.8165,112.25,-44.9808,-29.1364,133.536,1.0,0.0,0.0,0.013857035850499032,-1.0,-1.0
