V0_LAT,V1_LAT,V2_LAT,V3_LAT,V0_LON,V1_LON,V2_LON,V3_LON,Ca/Si,Ca/Si_uncer,polygon_area
80.715,75.0241,75.2453,80.9586,-34.0043,-33.5286,-29.5278,-29.7736,0.0,-1.0,23.552256375000006
-75.3649,-80.5128,-80.8301,-74.8838,-91.6085,-94.7481,-91.904,-85.8281,0.0,-1.0,23.543107249999974
-74.5665,-80.1118,-80.6712,-75.0792,-149.274,-152.874,-148.66,-145.716,0.0,-1.0,23.39372949999995
76.7442,71.0237,70.8361,76.6182,52.959,50.5567,53.7676,57.6268,0.0,-1.0,23.14728525500002
-76.0763,-81.653,-81.9729,-76.3431,101.341,96.3519,101.18,104.306,0.0,-1.0,23.023626079999993
82.6506,77.0506,77.4115,83.0459,165.954,167.148,171.29,169.807,0.0,-1.0,22.960843849999925
-76.1004,-81.7592,-81.9266,-76.2684,-49.7069,-50.9922,-47.6379,-45.1335,0.0,-1.0,22.74721156999999
-75.7623,-81.3883,-81.6289,-75.9745,129.492,126.466,131.232,132.548,0.0,-1.0,22.55033660000006
83.0874,77.5475,78.0642,83.6519,24.3354,26.6758,30.5631,28.0373,0.3458780322243037,0.0008538463755037,22.427729339999992
-70.7872,-76.8188,-76.8416,-71.0917,121.411,117.48,122.098,124.198,0.0,-1.0,22.303988449999963
-74.8291,-79.9495,-80.2564,-74.3932,-153.965,-157.928,-155.142,-148.561,0.0,-1.0,22.148877000000002
-75.7746,-81.4151,-81.5898,-75.9364,-28.5042,-30.2232,-26.2627,-24.7736,0.0,-1.0,21.98550998499997
81.1497,75.5682,76.0241,81.632,-138.567,-136.553,-133.56,-134.012,0.5055883655829907,0.003309701511121,21.692798099999997
81.5141,75.9393,76.3999,82.0041,-142.213,-140.111,-137.074,-137.765,0.0,-1.0,21.58246019999993
79.8078,74.1352,74.3429,80.0089,80.8547,80.7471,83.7336,85.5464,0.0,-1.0,21.568744750000008
-73.9951,-79.1581,-79.6598,-73.6877,-107.297,-110.534,-107.818,-102.427,0.0,-1.0,21.53682225000004
-75.1977,-80.8514,-81.0223,-75.357,-19.9212,-21.5098,-17.6561,-16.2788,0.8451524043526751,0.0094845268048776,21.456924020000002
80.6599,75.068,75.4925,81.1026,-125.418,-123.903,-121.033,-120.831,0.0,-1.0,21.167986899999995
81.8759,76.2752,76.631,82.2609,162.133,163.347,167.06,165.752,0.0,-1.0,21.052764200000002
-73.2259,-78.839,-79.3366,-73.7063,54.8421,52.2805,55.3095,58.7299,0.0,-1.0,20.904686280000014
80.6028,75.0093,75.425,81.0342,-120.863,-119.503,-116.663,-116.325,0.0,-1.0,20.879814200000013
82.3128,76.7726,77.2867,82.8762,-161.66,-159.379,-155.868,-158.122,0.0710605772621447,0.0001261281951032,20.834929449999947
-73.5237,-79.2056,-79.3561,-73.66,17.7029,16.2087,20.1158,21.024,0.0,-1.0,20.732866979999997
-73.4041,-79.0075,-79.5096,-73.8872,47.9768,45.4606,48.4802,51.8243,0.0,-1.0,20.715564685000036
-72.7784,-78.4181,-78.9069,-73.252,64.7099,62.1713,65.1773,68.5344,0.7558107501579823,0.0052067029529206,20.705446744999968
-73.8048,-79.3501,-79.8744,-74.295,-164.538,-167.311,-163.893,-161.057,0.0,-1.0,20.60990895000006
-73.7831,-79.3235,-79.8503,-74.2756,-169.027,-171.814,-168.385,-165.598,0.665954557165749,0.0003097423722724,20.477233499999926
-74.3559,-79.9488,-80.2957,-74.6726,0.2462,-2.2579,1.6158,3.4135,0.428423650266845,0.0013333702078009,20.456632619999976
-74.0351,-79.5473,-80.1174,-74.5425,-103.119,-108.073,-104.22,-100.459,0.0,-1.0,20.400173699999986
-75.0746,-80.7168,-80.9145,-75.2817,-112.125,-114.116,-111.081,-108.126,0.0,-1.0,20.32762269999998
80.539,74.8675,74.9721,80.6498,-149.56,-149.262,-146.163,-145.495,0.0,-1.0,20.306492699999957
81.3036,75.6902,76.0076,81.6492,1.2814,2.6274,5.7622,5.2414,0.0,-1.0,20.272415599999984
78.7806,73.0851,73.2915,79.0042,-23.8604,-23.3808,-19.9933,-20.1794,0.0,-1.0,20.231278175000003
-73.4473,-79.0329,-79.4453,-73.8244,-41.5779,-44.2528,-40.4468,-38.5272,0.0,-1.0,20.116741575000006
-74.1564,-79.3054,-79.6864,-73.8095,-32.7032,-36.2473,-33.7257,-27.973,0.0,-1.0,20.06866062500001
-72.72,-78.3436,-78.7129,-73.0688,164.271,162.323,165.73,167.66,0.4625142451983859,6.939871154609409e-05,19.840020249999988
79.5158,73.8677,74.1683,79.8399,33.2008,34.4375,37.3431,37.2136,0.0,-1.0,19.791919404999994
-75.4166,-80.594,-80.8369,-74.987,110.451,107.709,109.945,115.508,0.0,-1.0,19.71788884999997
-73.52,-79.1888,-79.3458,-73.6664,-173.832,-175.157,-171.596,-170.51,0.0,-1.0,19.710289500000037
78.808,73.1192,73.3091,79.014,-13.0909,-12.7427,-9.3687,-9.599,0.6731066265358472,0.0048760009456348,19.614258244999984
78.2537,72.5665,72.7555,78.4482,126.47,127.121,129.895,130.572,0.3677928319213001,0.0019992272497782,19.55955535000004
79.4763,73.8735,74.2875,79.905,-111.952,-110.809,-108.098,-107.801,0.0,-1.0,19.426655699999976
78.2076,72.5161,72.7402,78.452,-36.9569,-36.5069,-33.1421,-33.5523,0.3902232454684426,8.96589911067337e-05,19.399125679999997
-75.8818,-81.1149,-81.2963,-75.4815,81.6802,79.182,81.3706,86.6361,0.0,-1.0,19.308061904999995
79.9851,74.4615,74.985,80.5579,48.3251,49.3372,53.0999,51.199,0.0,-1.0,19.209138449999994
78.4901,72.8719,73.2035,78.8677,-104.88,-105.082,-101.33,-101.856,0.0,-1.0,19.169830799999982
-74.6636,-80.2515,-80.546,-74.9329,26.0433,23.7844,27.4216,29.0357,0.0,-1.0,19.11043675
-73.6428,-79.2966,-79.4826,-73.8382,-98.7001,-100.579,-97.7002,-95.0268,0.0,-1.0,18.94079586000006
-72.1286,-77.7533,-78.1138,-72.4706,167.545,165.768,168.965,170.796,0.0,-1.0,18.797509799999993
78.4573,72.7703,72.9201,78.6198,-179.125,-178.799,-175.733,-175.63,0.0,-1.0,18.694445400000003
80.8152,75.2176,75.5654,81.1876,156.174,157.374,160.591,159.445,0.0,-1.0,18.620912900000008
78.1301,72.442,72.6181,78.3207,-4.2047,-3.9269,-0.7139,-0.9367,0.0,-1.0,18.501674180000016
-72.6561,-78.1865,-78.7534,-73.1682,-117.228,-121.194,-117.704,-114.751,0.0,-1.0,18.44809655000001
-73.5493,-79.1134,-79.5324,-73.9298,-51.9963,-55.0154,-51.3978,-49.369,0.0,-1.0,18.442680219999986
-72.9444,-78.5382,-78.8933,-73.2702,-11.2314,-13.4316,-9.9877,-8.3586,0.0,-1.0,18.36529064999999
78.0336,72.38,72.6645,78.337,39.3257,40.3778,43.0365,43.1015,0.0,-1.0,18.36452663500002
80.0336,74.4195,74.7361,80.3806,10.5062,11.5265,14.6358,13.777,0.0,-1.0,18.26949115500002
-71.0627,-76.6869,-77.0842,-71.4375,147.132,145.337,148.441,150.246,0.7349210865101343,8.560314085957121e-05,18.21550405000002
77.3448,71.6957,72.0593,77.7385,-146.92,-146.147,-142.794,-143.975,0.0,-1.0,18.206349399999937
77.3741,71.6916,71.8767,77.5597,115.088,115.264,117.874,118.859,0.0,-1.0,18.055839800000015
77.9732,72.3548,72.7644,78.3955,-99.4535,-98.6074,-96.0149,-95.6648,0.8404094977951275,0.0007094195344024,18.04948295000004
-73.3866,-79.0216,-79.2234,-73.5727,140.158,138.436,141.965,142.932,0.0,-1.0,18.04420754999999
77.8783,72.1907,72.3473,78.0476,174.453,174.847,177.766,177.86,0.0,-1.0,18.034406349999962
-72.1838,-77.7144,-78.2826,-72.6989,-120.229,-123.951,-120.559,-117.798,0.2668500858165835,0.0405918562715861,17.93540069999997
-73.1774,-78.8303,-78.9969,-73.3532,-81.5419,-83.2718,-80.5299,-78.0631,0.6015825727112941,0.0015376708650357,17.927427424999955
-73.5877,-79.183,-79.4801,-73.8622,22.1207,20.2431,23.4559,25.075,0.0,-1.0,17.787909859999996
77.6457,72.0125,72.2991,77.9705,-78.2392,-78.4128,-74.9538,-75.4312,0.0,-1.0,17.75791788
78.6192,73.0894,73.6057,79.1888,77.764,78.3804,81.83,80.4899,0.5427816509494341,0.0019947623355544,17.68806932500005
77.6709,72.0513,72.456,78.0881,-96.1733,-95.3674,-92.8218,-92.4851,0.0,-1.0,17.631620735000006
80.261,74.6653,75.0114,80.63,153.096,154.268,157.301,156.194,0.0,-1.0,17.596146549999908
-72.145,-77.7428,-78.1028,-72.4768,-15.2939,-17.3116,-14.0822,-12.4829,0.0,-1.0,17.57462053000001
76.9968,71.3272,71.5595,77.2361,68.5822,68.9697,71.5076,72.2502,0.0,-1.0,17.56147935499997
75.9743,70.3237,70.6754,76.361,-122.86,-122.527,-119.209,-120.077,0.5486709896702465,0.0002413718874976,17.512243650000002
78.7089,73.1461,73.5703,79.1699,118.603,119.358,122.74,121.275,0.0,-1.0,17.385578399999993
-70.1176,-76.1868,-75.7006,-70.2638,-95.102,-96.2341,-93.3592,-91.8771,0.0,-1.0,17.323867700000005
-74.2152,-79.7828,-80.0857,-74.4788,60.419,56.9086,60.4651,62.7459,0.0,-1.0,17.256192025000026
-70.3736,-76.0056,-76.4434,-70.8001,85.7,83.5323,86.1095,88.8536,0.4937281386841865,0.0037425621493715,17.215439494999966
78.1184,72.5859,73.1065,78.6904,74.6727,75.3349,78.6666,77.3295,0.2468619815076076,0.035600624154632,17.188749144999967
78.8429,73.2505,73.5947,79.1983,-74.5862,-73.8941,-71.4574,-70.9104,0.0,-1.0,17.13426548999999
80.5595,74.9702,75.2873,80.9021,-28.4069,-27.1889,-24.4141,-25.183,0.8079130034544991,0.0002942173869507,17.13019814999999
-72.9339,-78.5755,-78.7862,-73.148,-115.055,-116.623,-113.996,-111.751,0.0,-1.0,17.130064050000037
78.1705,72.4959,72.5892,78.2667,-143.514,-143.129,-140.634,-139.977,1.1583683389554205,0.0009627338828607,17.106080800000022
-73.9883,-79.1925,-79.5002,-73.671,154.88,151.745,153.943,158.88,0.0,-1.0,17.076880500000065
76.3157,70.646,70.8956,76.5769,60.3601,60.9524,63.4324,63.8913,0.0,-1.0,17.075317980000005
-74.0814,-79.6589,-79.966,-74.3549,39.7194,36.8045,40.3473,42.0361,0.0,-1.0,17.05812747999997
-73.3443,-78.881,-79.3209,-73.7398,-64.9563,-68.4736,-65.1009,-62.6455,0.0,-1.0,17.04440247
