V0_LAT,V1_LAT,V2_LAT,V3_LAT,V0_LON,V1_LON,V2_LON,V3_LON,Al/Si,Al/Si_uncer,polygon_area
76.3264,70.6238,70.2384,75.9231,-123.329,-125.606,-122.077,-120.389,0.0,-1.0,19.197909800000005
-75.567,-81.2086,-80.8914,-75.2666,-159.231,-158.635,-155.002,-156.16,0.0,-1.0,19.15330399999997
-72.5803,-78.0536,-78.72,-73.2318,137.939,134.806,137.936,141.036,0.0,-1.0,19.11793280000002
-75.8312,-80.7191,-81.3716,-75.2692,84.837,80.9946,84.1839,88.4992,1.0,0.2900339479243551,19.009578074999986
76.4699,70.7738,70.4399,76.1093,-167.876,-169.297,-166.261,-164.426,0.0,-1.0,18.994481250000064
-77.7041,-83.2766,-82.8578,-77.3129,-26.343,-25.0636,-21.4892,-23.4274,0.0,-1.0,18.689545500000015
77.9391,72.3582,71.7876,77.3509,88.8407,85.1811,88.4797,91.4406,0.0,-1.0,18.351474774999993
-72.4655,-77.3513,-77.6204,-72.1678,-141.157,-142.163,-138.701,-137.527,0.0,-1.0,18.314396200000097
77.5838,72.005,71.3846,76.9907,82.4189,78.8017,82.0701,84.9766,0.0,-1.0,18.270213960000003
-76.4946,-82.0575,-81.526,-75.9972,20.5461,22.3831,25.7032,23.4301,0.0,-1.0,18.260724464999992
-74.6751,-80.2213,-79.7148,-74.1322,-107.155,-107.258,-103.374,-104.587,0.0,-1.0,18.241962899999997
-75.0097,-80.6228,-80.3425,-74.7357,59.7731,58.8185,62.8194,62.2876,0.0,-1.0,18.216944605000016
-73.1371,-78.1,-78.2967,-72.8558,2.308,1.5628,5.0387,5.8349,0.0,-1.0,18.181332049999988
-73.6765,-79.3492,-79.36,-73.6834,30.0431,29.0549,32.6221,32.8812,0.0,-1.0,18.179437124999993
-73.228,-78.7073,-79.2996,-73.7933,-20.9113,-23.8402,-20.9512,-17.825,0.0,-1.0,18.162909860000013
-72.9815,-78.4502,-79.0664,-73.5695,-32.0071,-34.9959,-32.0673,-28.9792,0.0,-1.0,18.15859984500001
77.6075,72.0336,71.4211,77.0154,85.7037,82.0881,85.3331,88.245,0.0,-1.0,18.12139554000005
-71.8506,-77.3277,-77.9995,-72.5049,152.522,149.286,152.363,155.28,0.0,-1.0,18.044840700000016
77.6552,72.0826,71.4863,77.0382,102.431,98.8709,102.089,104.971,0.0,-1.0,17.968045844999978
-75.2014,-80.7931,-80.3783,-74.825,-112.687,-111.661,-108.915,-109.087,0.0,-1.0,17.91850689999994
-73.5319,-79.0112,-79.5679,-74.0609,-8.5675,-11.4115,-8.4703,-5.5574,0.0,-1.0,17.908258380000007
-73.5228,-79.0022,-79.5549,-74.0478,-5.5203,-8.3459,-5.3902,-2.5297,0.0,-1.0,17.864233730000002
-71.5449,-77.0197,-77.6928,-72.2042,142.061,139.055,142.038,144.88,0.0,-1.0,17.850380499999993
-71.7609,-77.2406,-77.9066,-72.4106,155.735,152.531,155.584,158.455,0.0,-1.0,17.83889839999997
77.5741,71.9983,71.4182,76.9753,95.6493,92.1165,95.3056,98.1745,0.0,-1.0,17.79092364999999
-73.3743,-78.854,-79.4179,-73.9106,-11.6038,-14.4474,-11.5507,-8.6089,0.0,-1.0,17.77402656999999
71.2151,65.4464,65.3146,71.186,18.4204,17.641,20.2604,21.8668,0.0,-1.0,17.747598450000034
-73.2514,-78.7319,-79.3039,-73.7961,-14.6577,-17.4973,-14.6416,-11.6496,0.0,-1.0,17.736335314999984
-73.7635,-79.4205,-79.1007,-73.46,-169.922,-169.355,-166.006,-167.083,0.0,-1.0,17.7337182
75.1335,69.4369,69.0533,74.7327,-117.853,-119.971,-116.744,-115.133,0.0,-1.0,17.64452490000002
81.4343,75.9401,76.5141,82.0237,172.383,174.988,177.747,175.523,0.0,-1.0,17.63236870000001
-73.3394,-78.8216,-79.3707,-73.8614,-0.2286,-2.9928,-0.0869,2.7235,0.0,-1.0,17.589790265000005
78.8139,73.3164,73.9495,79.4603,-73.0409,-71.1077,-68.7074,-69.4756,0.0,-1.0,17.281888944999952
-75.1044,-80.6304,-80.1043,-74.6058,-73.446,-73.1059,-69.4051,-71.0701,0.0,-1.0,17.261801279999986
-71.4931,-76.9826,-77.6227,-72.1219,164.406,161.406,164.364,167.065,0.0,-1.0,17.241628499999962
-73.2394,-78.7283,-79.2668,-73.7532,6.4259,3.7443,6.5392,9.365,1.0,0.010778089726889,17.220943005
75.2095,69.5802,69.0858,74.6776,-22.4444,-24.3196,-21.5803,-19.4325,0.0,-1.0,17.165898804999998
69.3086,63.5333,63.3702,69.2732,33.8984,33.0805,35.6201,37.1844,0.0,-1.0,17.12649279499999
78.8662,73.3709,73.9996,79.5074,-76.1682,-74.2973,-71.9184,-72.6257,0.0,-1.0,17.106953130000008
-74.9501,-80.4739,-79.9406,-74.4457,-69.9373,-69.4359,-65.8229,-67.5972,0.0,-1.0,16.98922921499997
-71.3244,-76.8167,-77.4443,-71.9424,168.773,165.908,168.811,171.421,1.0,0.0923632094416664,16.962116050000045
75.6363,69.9583,69.6394,75.2946,11.8456,10.3811,13.2807,14.747,1.110246744747273,0.0048244879130074,16.91999492000003
77.9979,72.4463,71.9442,77.4637,-147.184,-149.484,-146.837,-144.191,0.0,-1.0,16.891635950000058
-73.8892,-78.7611,-79.3826,-73.3035,-38.9712,-42.0795,-38.9726,-35.9336,0.0,-1.0,16.877123210000004
78.1932,72.6234,72.1266,77.6746,43.0517,40.1253,43.2129,45.5358,0.0,-1.0,16.818796370000022
78.3459,72.7777,72.2841,77.8323,45.9587,42.9184,46.033,48.3905,0.0,-1.0,16.77316628000003
-71.4178,-76.9164,-77.5223,-72.0141,-174.416,-177.253,-174.353,-171.818,0.0,-1.0,16.743401199999898
78.8161,73.3236,73.9465,79.45,-80.2252,-78.4811,-76.1435,-76.7419,0.0,-1.0,16.737667599999998
-74.7699,-80.2903,-79.7448,-74.2556,-65.2072,-64.4527,-60.9391,-62.9049,0.0,-1.0,16.728426644999974
-71.1564,-76.6527,-77.2682,-71.764,174.151,171.411,174.266,176.789,0.0,-1.0,16.715730449999878
77.3446,71.7831,71.286,76.8177,-154.234,-156.439,-153.709,-151.374,0.0,-1.0,16.664987000000004
75.4246,69.7636,69.3491,74.968,57.0636,55.401,57.7558,60.2529,0.0,-1.0,16.54010206499996
78.4097,72.8708,72.349,77.8497,-137.329,-139.863,-137.469,-134.296,0.0,-1.0,16.521435450000048
76.8621,71.294,70.7938,76.3329,-157.694,-159.901,-157.142,-154.938,0.0,-1.0,16.449222850000034
-73.1655,-78.7329,-78.2244,-72.6809,-137.209,-136.492,-133.142,-134.87,0.0,-1.0,16.409509900000003
72.5458,66.8298,66.4666,72.1581,-147.978,-149.346,-146.523,-145.226,0.0,-1.0,16.399490250000046
78.5129,72.9788,72.4488,77.9425,-133.626,-136.247,-133.957,-130.588,0.0,-1.0,16.33687860000008
77.9548,72.3887,71.8985,77.4459,49.0562,46.0901,49.0898,51.4145,0.0,-1.0,16.20804282000001
78.8541,73.685,73.0889,79.2581,-91.3184,-94.9735,-92.5937,-88.1287,0.8287430289946328,3.661517933920991e-05,16.17713326500004
78.2005,72.6782,72.1197,77.6293,114.103,110.817,113.762,116.413,0.0,-1.0,16.169915850000056
-74.6225,-80.137,-79.5788,-74.0953,-60.4457,-59.4191,-56.137,-58.1795,1.5529422842838465,0.0038557811005541,16.087851135000026
78.4335,72.9454,73.5702,79.0688,-85.6044,-83.9239,-81.6659,-82.2756,0.0,-1.0,16.066594145000007
-72.6615,-78.2298,-77.7169,-72.1722,-133.085,-132.428,-129.16,-130.79,0.0,-1.0,16.028412600000028
73.829,68.144,67.7937,73.4506,27.3567,26.0245,28.664,30.1707,0.0,-1.0,15.980439519999983
-71.0097,-76.5927,-75.8366,-70.3483,86.4991,88.363,90.7876,89.4193,0.0,-1.0,15.938881935000017
73.6766,68.0382,67.553,73.1552,-30.0597,-31.7655,-29.1993,-27.2928,0.9914063424897608,6.918204557319928e-05,15.895846259999981
-73.5354,-79.1354,-78.7487,-73.1775,-119.845,-118.847,-116.381,-116.726,0.0,-1.0,15.847787450000006
78.0809,72.5629,72.0009,77.5054,117.632,114.447,117.331,119.9,0.0,-1.0,15.83327375
-71.0691,-76.6373,-75.8822,-70.4016,89.7921,91.6807,94.0782,92.6941,0.0,-1.0,15.802214654999965
77.8115,72.3103,71.74,77.2247,129.585,126.765,129.45,132.008,0.0,-1.0,15.58471524999998
-70.6006,-76.1759,-75.5815,-69.9873,-101.77,-101.126,-98.0434,-99.4988,0.0,-1.0,15.583678619999969
78.2027,72.6746,72.1423,77.6299,-130.049,-132.649,-130.52,-127.124,0.0,-1.0,15.57488184999997
-73.1348,-78.7629,-78.4258,-72.8172,-145.926,-144.831,-142.306,-143.039,1.3023409254716758,0.00028899227594,15.502452999999935
